slug,title,riasec_tag,summary,work_environment,typical_tools,day_in_life
registered-nurse,Registered Nurse,SIA,"Provides direct patient care, health education, and treatment support in hospitals and communities.","Hospitals, clinics, and community health centers",Stethoscope|IV and medication kits|Electronic patient charts,"Your shift starts at 6 AM with endorsement from the night nurse. Through the day you take vitals, administer medications, and update charts — and between rounds you calm a nervous patient's family, switching easily between Filipino and English."
civil-engineer,Civil Engineer,RIC,"Designs and supervises the construction of roads, bridges, buildings, and flood-control systems.","Design offices and active construction sites",AutoCAD|Structural analysis software|Survey instruments,"Morning starts on site in a hardhat checking rebar spacing against your structural plans. After lunch you are back in the office running load calculations and updating the project engineer on whether the pour can proceed before the rains come."
software-developer,Software Developer,IRC,"Builds and maintains applications, from mobile apps to enterprise systems.","Offices, tech hubs, or fully remote",VS Code|Git and GitHub|Issue trackers,"You start by reviewing a teammate's code over coffee, then spend a deep-focus block building a new feature. In the afternoon stand-up you demo it, fix a bug the tester found, and push your work — all without leaving your home office in Pampanga."
it-support-specialist,IT Support Specialist,ICR,"Keeps an organization's networks, systems, and devices running smoothly.","Corporate offices, BPO firms, and service desks",Ticketing systems|Remote desktop tools|Network diagnostics,"Your queue starts with a locked account and a printer that will not print. By mid-morning you are imaging laptops for new hires, and in the afternoon you trace a network slowdown to a failing switch and coordinate the replacement before the night shift logs in."
accountant,Accountant,CEI,"Prepares financial statements, manages taxes, and audits business records.","Accounting firms, corporations, and government offices",Spreadsheets|Accounting software|BIR e-filing systems,"You spend the morning reconciling last month's ledgers and chasing two missing receipts. After lunch you prepare a client's quarterly tax filing, double-check every figure, and end the day walking the owner through what the numbers mean for her growing bakery."
elementary-teacher,Elementary School Teacher,SAE,"Teaches and shapes young learners across core subjects in their formative years.","Public and private elementary schools",Lesson plans|Visual aids|Learning management apps,"You are at school by 6:30 AM arranging the classroom before thirty Grade 3 pupils arrive. The day moves through reading, math games, and a science experiment with plenty of laughter — after dismissal you check papers and prepare tomorrow's materials."
guidance-counselor,Guidance Counselor,SIA,"Supports students' academic, career, and personal development in schools.","Elementary, secondary, and tertiary schools",Assessment tools|Counseling frameworks|Student records systems,"Your morning is one-on-one sessions with students weighing college choices. At noon you run a career orientation for Grade 12, and in the afternoon you sit with a struggling student and their parents, helping the family listen to each other — the part of the job that matters most."
architect,Architect,AIR,"Designs functional, safe, and beautiful buildings and spaces.","Design studios and construction sites",CAD and BIM software|Sketchbooks|Material samples,"The morning is spent refining a house design in 3D after the client asked for more natural light. In the afternoon you visit the site, check that the contractor followed your window details, and sketch a revision right on the plywood wall."
multimedia-artist,Multimedia Artist,AES,"Creates visual content — graphics, animation, and video — for brands and media.","Studios, agencies, or freelance from home",Adobe Creative Suite|Drawing tablets|Video editing rigs,"You start with client feedback on yesterday's storyboard, adjust the color script, and animate a 15-second sequence by mid-afternoon. Before logging off you post a personal illustration online — your portfolio is your résumé, and it grew again today."
hotel-manager,Hotel and Restaurant Manager,ESC,"Runs the daily operations of hotels, resorts, and food businesses.","Hotels, resorts, and restaurants",Property management systems|Rosters and inventory sheets|POS systems,"You walk the lobby at 7 AM checking last night's occupancy and today's arrivals. The day is a rhythm of briefings, a supplier negotiation over banquet pricing, and a guest complaint you turn into a glowing review by evening."
police-officer,Police Officer,RSE,"Maintains public order, enforces the law, and serves communities.","Police stations and field assignments",Two-way radios|Incident reports|Patrol vehicles,"Formation at 5:30 AM, then a morning patrol through the public market where vendors know you by name. The afternoon brings a traffic incident to document and a barangay dispute to mediate — the badge is heaviest in the small, human moments."
agriculturist,Agriculturist,RIE,"Applies science to improve crop yields, livestock, and farm sustainability.","Farms, research stations, and agri-business firms",Soil test kits|Drones and sensors|Farm management software,"You are in the rice paddies by sunrise measuring soil moisture ahead of the dry season. Midday is spent training a farmers' cooperative on a new seed variety, and you end the day analyzing drone imagery that shows exactly which paddocks need attention."
entrepreneur,Entrepreneur,EAS,"Builds and grows a business venture, from sari-sari scale to startup.","Anywhere the market is — shops, online, co-working spaces",Business plans|E-commerce platforms|Bookkeeping apps,"Your morning starts packing orders from last night's online sales. By noon you are pitching your product to a local grocery chain, and in the evening you review the week's numbers and decide it is finally time to hire your first employee."
