slug,name,degree_type,field,riasec_tag,overview,core_subjects,pros,cons
bs-nursing,BS in Nursing,Bachelor,Health Sciences,SIA,"Prepares students to become licensed nurses through classroom instruction and intensive hospital duty.",Anatomy and Physiology|Fundamentals of Nursing|Pharmacology|Community Health Nursing|Medical-Surgical Nursing,High demand locally and abroad|Clear licensure path (PNLE)|Deeply meaningful patient-facing work,Physically and emotionally demanding|Shift work including nights and holidays|Board exam pressure
bs-civil-engineering,BS in Civil Engineering,Bachelor,Engineering,RIC,"Covers the design, construction, and maintenance of infrastructure such as roads, bridges, and buildings.",Engineering Mechanics|Structural Analysis|Hydraulics|Geotechnical Engineering|Construction Management,Strong job market driven by infrastructure projects|Licensed profession with clear career ladder|Tangible results you can point to,Heavy math and physics load|Licensure exam required|Site work can mean long field hours
bs-computer-science,BS in Computer Science,Bachelor,Computing,IRC,"Focuses on programming, algorithms, and the theory behind software systems.",Data Structures and Algorithms|Discrete Mathematics|Operating Systems|Software Engineering|Machine Learning Basics,High-paying and remote-friendly career paths|No licensure exam required|Constantly evolving and creative problem solving,Requires sustained self-study|Can be sedentary|Fast-changing tools demand lifelong learning
bs-information-technology,BS in Information Technology,Bachelor,Computing,ICR,"Centers on applying computing systems to business needs: networks, databases, and systems administration.",Networking Fundamentals|Database Management|Web Systems|Information Assurance|Systems Integration,Broad entry-level opportunities in BPO and IT firms|Practical hands-on skills|Certifications can substitute for experience,Entry-level roles can start with support work|On-call duties for system issues|Requires continuous certification
bs-accountancy,BS in Accountancy,Bachelor,Business,CEI,"Trains students in financial reporting, auditing, and taxation toward the CPA licensure exam.",Financial Accounting|Auditing and Assurance|Taxation|Cost Accounting|Accounting Information Systems,Prestigious CPA track|Every business needs accountants|Stable and well-compensated profession,Very demanding board exam|Heavy workload during study and busy season|Detail-heavy routine work
bs-business-administration,BS in Business Administration,Bachelor,Business,ECS,"Develops general management, marketing, and operations skills for corporate or entrepreneurial paths.",Principles of Management|Marketing Management|Business Finance|Human Resource Management|Operations Management,Versatile degree across industries|Good springboard for entrepreneurship|Strong local job market,Broad rather than specialized|Competitive entry-level market|Advancement often requires further study
bs-elementary-education,BS in Elementary Education,Bachelor,Education,SAE,"Prepares future elementary school teachers with foundations in pedagogy and child development.",Child and Adolescent Development|Principles of Teaching|Curriculum Development|Educational Technology|Practice Teaching,Stable public-sector demand|LET licensure gives security of tenure|Direct positive impact on children,Modest starting salaries|Licensure exam required|Large class sizes in public schools
bs-secondary-education,BS in Secondary Education,Bachelor,Education,SEA,"Prepares high school teachers with a chosen subject specialization such as math, science, or English.",Facilitating Learning|Assessment of Learning|Specialization Courses|Educational Technology|Practice Teaching,Clear licensure path (LET)|Subject specialization deepens expertise|Strong demand for STEM teachers,Modest starting salaries|Classroom management is demanding|Paperwork load
bs-psychology,BS in Psychology,Bachelor,Social Sciences,ISA,"Studies human behavior and mental processes; a common pre-med and HR pathway.",General Psychology|Experimental Psychology|Abnormal Psychology|Psychological Assessment|Industrial-Organizational Psychology,Flexible pathways: HR, clinical, research, pre-med|Growing mental health awareness increases demand|Deeply human subject matter,Clinical practice requires graduate study|Entry-level pay varies widely|Emotionally heavy topics
bs-architecture,BS in Architecture,Bachelor,Design,AIR,"Combines art and engineering to design buildings and spaces, leading to architectural licensure.",Architectural Design|Building Technology|History of Architecture|Structural Concepts|Urban Planning,Creative work with lasting physical output|Licensed profession|Growing construction sector,Five-year program plus apprenticeship|Studio culture means long nights|Licensure exam required
bs-multimedia-arts,BS in Multimedia Arts,Bachelor,Design,AES,"Covers graphic design, animation, video production, and interactive media.",Design Fundamentals|Digital Illustration|Motion Graphics|Video Production|Interactive Media,Portfolio matters more than grades|Freelance and remote-friendly|Creative industries are growing,Income can be irregular early on|Client revisions test patience|Requires self-marketing
bs-hospitality-management,BS in Hospitality Management,Bachelor,Service,ESC,"Prepares students for hotel, restaurant, and events management with strong practicum components.",Food and Beverage Operations|Front Office Management|Events Management|Culinary Fundamentals|Tourism and Hospitality Marketing,Clark and tourism corridor create local jobs|International placement opportunities|People-centered, dynamic work,Shift work and holidays on duty|Entry-level pay is modest|Physically demanding service periods
bs-tourism-management,BS in Tourism Management,Bachelor,Service,ECS,"Focuses on travel operations, destination marketing, and tour management.",Tourism Planning|Travel Agency Operations|Destination Marketing|Airline Operations|Ecotourism,Growing Philippine tourism industry|Travel exposure|Strong communication skill building,Seasonal employment swings|Often starts in frontline roles|Industry sensitive to global events
bs-criminology,BS in Criminology,Bachelor,Public Safety,RSE,"Studies crime, justice administration, and law enforcement toward the criminologist licensure exam.",Criminal Law|Criminalistics|Law Enforcement Administration|Forensic Science|Correctional Administration,Clear path to PNP and public safety careers|Licensure profession|Strong sense of public service,Physically demanding training|Risk inherent to law enforcement work|Rank-based salary progression
bs-agriculture,BS in Agriculture,Bachelor,Agriculture,RIE,"Covers crop science, animal production, and agribusiness — vital in Central Luzon's farm economy.",Crop Science|Animal Science|Soil Science|Agricultural Economics|Farm Mechanization,Central Luzon is the country's rice bowl|Government support and scholarships|Agri-tech is modernizing fast,Field work in all weather|Farm incomes fluctuate|Undervalued despite importance
bs-entrepreneurship,BS in Entrepreneurship,Bachelor,Business,EAS,"Builds the skills to start and grow a business, with students often launching real ventures before graduating.",Opportunity Seeking|Business Plan Development|Innovation Management|Financial Literacy|Digital Marketing,You build your own venture in school|Skills transfer to any business role|Growing startup and MSME support ecosystem,Income uncertainty as a founder|Requires high self-discipline|Family capital often assumed
